"Product Name","SKU(s)","Printer Brand","Compatible Models (parsed)","Client: Correct? (Y/N)","Client: Notes"
"Brother DR 2305","BRO-DR2305","Brother","HL-L2365 / MFC L2740","",""
"Brother TN 2060","BRO-TN2060","Brother","HL-2130 / DCP-7055","",""
"Generic Brother DR-2255","BRO-DR2255","Brother","HL-2130 / 2270 / MFC 7360 / 7860","",""
"Brother TN 2280","BRO-TN2280","Brother","MFC 7360 / MFC 7860 / HL 2270","",""
"Brother TN 3467","BRO-TN3467","Brother","HL-L5700 / 5900","",""
"Generic Brother TN-3185","BRO-TN3185","Brother","HL-5240 / 5250 / 5270 / MFC8460 / 8860","",""
"Generic Brother TN-2150","BRO-TN2150","Brother","DCP7030 / MFC7320 / 7440 / HL 2140 / 2150","",""
"Brother TN 3290","BRO-TN3290","Brother","HL-5340 / 5350 / 5380 / MFC8370 / 8380","",""
"Generic Brother TN-3350","BRO-TN3350","Brother","DCP8100 / 8200 Series / HL 5400 Series","",""
"Samsung MLT 111L","SAM-MLT111L","Samsung","M2020 / 2070","",""
"Samsung MLT-D101S","SAM-MLTD101S","Samsung","ML2160 / SCX3405","",""
"Samsung MLT-D104S","SAM-MLTD104S","Samsung","ML 1660 / 1670 / 1860 / SCX 3200","",""
"Samsung MLT-D105L","SAM-MLTD105L","Samsung","ML1910 / ML2525 / SCX4623","",""
"Samsung MLT-D116L","SAM-MLTD116L","Samsung","M2675 / 2825 / 2875","",""
"Samsung R116 Drum Unit","SAM-R116DRUMUNIT","Samsung","M2675 / 2825 / 2875","",""
"Samsung MLT-D117S","SAM-MLTD117S","Samsung","SCX 4650 / 4655 / 4656","",""
"Samsung MLT 119","SAM-MLT119","Samsung","SCX4521 / ML1610 / ML2010","",""
"Samsung MLT-D203L","SAM-MLTD203L","Samsung","Pro Express M3320 / 3370 / 4020 / 4070","",""
"Samsung MLT-D205L","SAM-MLTD205L","Samsung","ML3310 / 3710 / SCX4833","",""
"Samsung MLT-D208L","SAM-MLTD208L","Samsung","SCX 5835 / 5635","",""
"Samsung MLT-D209L","SAM-MLTD209L","Samsung","ML2855 / SCX4824 / 4828","",""
"HP CE285A","HP-CE285A","HP","P1102 / M1212 / 1217 / P1005 / 1006 / M1120 / 1522","",""
"HP CF217A","HP-CF217A","HP","M102 / M130","",""
"HP CF226X","HP-CF226X","HP","M402 / M426","",""
"HP CF226A","HP-CF226A","HP","M402 / M426","",""
"HP CF283X","HP-CF283X","HP","M225","",""
